,పేరు,పుస్తకం,రకం,ప్రచురణ తేది
1443,సంకలన కర్త,కథాగౌతమి,కథా సంకలనం,1992-12-01
1444,సంకలన కర్త,కథాజగత్,కథా సంకలనం,2007-05-01
1445,సంకలన కర్త,కథాతోరణము,కథా సంకలనం,1958-01-01
1446,సంకలన కర్త,కథానగరం,కథా సంకలనం,2000-01-01
1447,సంకలన కర్త,కథానిక 2,కథా సంకలనం,1955-01-01
1448,సంకలన కర్త,కథామంజరి 1998,కథా సంకలనం,1998-01-01
1449,సంకలన కర్త,కథారంజని 1976,కథా సంకలనం,1975-01-01
1450,సంకలన కర్త,కథాలహరి,కథా సంకలనం,1962-03-01
1451,సంకలన కర్త,కథాలహరి,కథా సంకలనం,1990-01-01
1452,సంకలన కర్త,కథావళి,కథా సంకలనం,1932-01-01
1453,సంకలన కర్త,కథావాహిని 1 1973,కథా సంకలనం,1973-10-07
1454,సంకలన కర్త,కథావాహిని 2 1973,కథా సంకలనం,1973-10-07
1455,సంకలన కర్త,కథావీధి,కథా సంకలనం,1976-01-01
1456,సంకలన కర్త,కథావీధి,కథా సంకలనం,1971-01-01
1457,సంకలన కర్త,కథావేదిక,కథా సంకలనం,1981-12-01
1458,సంకలన కర్త,కథావేదిక,కథా సంకలనం,1990-01-01
1459,సంకలన కర్త,కథావేదిక 2005,కథా సంకలనం,2006-01-01
1460,సంకలన కర్త,కథాసమయం,కథా సంకలనం,2001-01-01
1461,సంకలన కర్త,కథాసాగర్,కథా సంకలనం,2007-01-01
1462,సంకలన కర్త,కథాసాగర్ 97,కథా సంకలనం,1997-01-01
1463,సంకలన కర్త,కదంబం 1996,కథా సంకలనం,1996-03-01
1464,సంకలన కర్త,కదిలేకథ,కథా సంకలనం,2003-01-01
1465,సంకలన కర్త,కికి 1,కథా సంకలనం,1966-10-01
1466,సంకలన కర్త,కికి 2,కథా సంకలనం,1966-11-01
1467,సంకలన కర్త,కుట్ర (సంకలనం),కథా సంకలనం,1981-04-01
1468,సంకలన కర్త,కెరటాలు,కథా సంకలనం,1973-12-01
1469,సంకలన కర్త,కొత్త గులాబీలు,కథా సంకలనం,1969-11-01
1470,సంకలన కర్త,కొత్తకథ,కథా సంకలనం,1984-10-30
1471,సంకలన కర్త,కొత్తకథలు 21,కథా సంకలనం,1975-01-01
1472,సంకలన కర్త,క్యూ విడుపు కథలు,కథా సంకలనం,1970-11-01
1473,సంకలన కర్త,గడ్డిపూలు,కథా సంకలనం,1964-02-01
1474,సంకలన కర్త,గృహశోభ కథాసంపుటి,కథా సంకలనం,2009-09-01
1475,సంకలన కర్త,గృహశోభ కథాసంపుటి 2010,కథా సంకలనం,2010-01-01
1476,సంకలన కర్త,చదువు సంధ్యలు,కథా సంకలనం,2000-01-01
1477,సంకలన కర్త,చిట్టి పొట్టి- చింతగింజ,కథా సంకలనం,1980-01-01
1478,సంకలన కర్త,చీకటి త్వరగా తరమండి(పురోగామి),కథా సంకలనం,1976-06-01
1479,సంకలన కర్త,చేతన,కథా సంకలనం,1978-11-30
1480,సంకలన కర్త,చేతనకథా ఝరి,కథా సంకలనం,2007-01-01
1481,సంకలన కర్త,చేమంతులు,కథా సంకలనం,1967-12-01
1482,సంకలన కర్త,జంఝావతి కథలు,కథా సంకలనం,2006-01-01
1483,సంకలన కర్త,జనం,కథా సంకలనం,1972-04-01
1484,సంకలన కర్త,జాజిపూలు,కథా సంకలనం,1965-07-01
1485,సంకలన కర్త,జ్వాల,కథా సంకలనం,1956-01-01
1486,సంకలన కర్త,తాత దిగిపోయిన బండి,కథా సంకలనం,1987-06-01
1487,సంకలన కర్త,తానా తెలుగుకథ 1993,కథా సంకలనం,1993-01-01
1488,సంకలన కర్త,తుంగభద్రా తరంగాలు,కథా సంకలనం,1978-01-01
1489,సంకలన కర్త,తుంగభద్రా తరంగాలు,కథా సంకలనం,1975-01-01
1490,సంకలన కర్త,తూరుపు,కథా సంకలనం,1974-01-01
1491,సంకలన కర్త,తూర్పు రేఖలు,కథా సంకలనం,1982-01-01
1492,సంకలన కర్త,తెలంగాణ కథలు,కథా సంకలనం,2005-01-01
1493,సంకలన కర్త,తెలంగాణా పోరాట కథలు,కథా సంకలనం,1982-04-01
1494,సంకలన కర్త,తెలుగు కథ 1997,కథా సంకలనం,1999-01-01
1495,సంకలన కర్త,తెలుగు కథకి జేజే,కథా సంకలనం,2007-01-01
1496,సంకలన కర్త,తెలుగు వచన రచనా పరిచయం విభాగం 4,కథా సంకలనం,1984-01-01
1497,సంకలన కర్త,తొలి తెలుగు కథలు,కథా సంకలనం,2006-02-01
1498,సంకలన కర్త,తోరణం(సంకలనం),కథా సంకలనం,1974-11-01
1499,సంకలన కర్త,దండకారణ్య కథలు,కథా సంకలనం,2014-01-01
1500,సంకలన కర్త,దర్పణం,కథా సంకలనం,1970-06-01
1501,సంకలన కర్త,దర్పణం (బందరు),కథా సంకలనం,1976-02-01
1502,సంకలన కర్త,దీపిక,కథా సంకలనం,1972-09-01
1503,సంకలన కర్త,దేశమంటే,కథా సంకలనం,1999-08-01
1504,సంకలన కర్త,నల్లకలువలు,కథా సంకలనం,1988-09-01
1505,సంకలన కర్త,నవ కథామాల,కథా సంకలనం,1962-08-01
1506,సంకలన కర్త,నవ మల్లిక,కథా సంకలనం,1956-01-01
1507,సంకలన కర్త,నవకథా విపంచి,కథా సంకలనం,0
1508,సంకలన కర్త,నవకథామంజరి,కథా సంకలనం,1961-04-01
1509,సంకలన కర్త,నవకథామాల,కథా సంకలనం,1962-08-01
1510,సంకలన కర్త,నవకథావళి,కథా సంకలనం,1961-07-01
1511,సంకలన కర్త,నవతరం తెలుగు కథ,కథా సంకలనం,2009-04-01
1512,సంకలన కర్త,నవీన కథామాల,కథా సంకలనం,1968-04-01
1513,సంకలన కర్త,నీ సుఖమే కోరుతున్నా,కథా సంకలనం,1981-01-01
1514,సంకలన కర్త,నీరాజనం,కథా సంకలనం,1944-01-01
1515,సంకలన కర్త,నేలతల్లి విముక్తికోసం,కథా సంకలనం,1990-09-01
1516,సంకలన కర్త,నోముల పురస్కార కథలు,కథా సంకలనం,2012-10-01
1517,సంకలన కర్త,పంచవటి,కథా సంకలనం,1970-04-01
1518,సంకలన కర్త,పదకొండు కథలు,కథా సంకలనం,1974-06-01
1519,సంకలన కర్త,పది తెలుగు కథలు 35-61,కథా సంకలనం,1962-01-01
1520,సంకలన కర్త,పదివేల రూపాయిలు,కథా సంకలనం,1940-01-01
1521,సంకలన కర్త,పరివృతం,కథా సంకలనం,1968-04-01
1522,సంకలన కర్త,పరిసరాలు,కథా సంకలనం,0
1523,సంకలన కర్త,పాతకలాలు- కొత్తపాళీలు,కథా సంకలనం,1974-07-01
1524,సంకలన కర్త,పారిజాతం(సంకలనం),కథా సంకలనం,1957-10-01
1525,సంకలన కర్త,పార్కులో పచ్చపూలు,కథా సంకలనం,1957-01-01
1526,సంకలన కర్త,పూలజల్లు,కథా సంకలనం,1960-01-01
1527,సంకలన కర్త,పూలజల్లు,కథా సంకలనం,1970-01-01
1528,సంకలన కర్త,ప్రగతి 1,కథా సంకలనం,1947-08-01
1529,సంకలన కర్త,ప్రజాశక్తి కథలు 1,కథా సంకలనం,1945-09-01
1530,సంకలన కర్త,ప్రజాశక్తి కథలు 2,కథా సంకలనం,1945-09-01
1531,సంకలన కర్త,ప్రతి ధ్వనులు,కథా సంకలనం,1973-04-01
1532,సంకలన కర్త,ప్రతిబింబాలు,కథా సంకలనం,1972-04-01
1533,సంకలన కర్త,ప్రతిబింబాలు,కథా సంకలనం,1977-01-01
1534,సంకలన కర్త,ప్రతిరూపాలు,కథా సంకలనం,1972-12-01
1535,సంకలన కర్త,ప్రవాహం(విరసం),కథా సంకలనం,2003-01-01
1536,సంకలన కర్త,ప్రసిద్ధుల కథలు,కథా సంకలనం,1965-01-01
1537,సంకలన కర్త,ఫ్యాక్షన్ కథలు,కథా సంకలనం,1998-01-01
1538,సంకలన కర్త,బడికతలు,కథా సంకలనం,2003-01-01
1539,సంకలన కర్త,బహుమతి కథ,కథా సంకలనం,2009-09-01
1540,సంకలన కర్త,బహుమతి కథలు బ్రౌన్ 2009,కథా సంకలనం,2010-01-01
1541,సంకలన కర్త,బహుమతి కథలు బ్రౌన్ 2010,కథా సంకలనం,2011-01-01
1542,సంకలన కర్త,బహుమతి కథలు(బ్రౌన్) 2008,కథా సంకలనం,2009-10-01
1543,సంకలన కర్త,బొగ్గుపొరల్లో,కథా సంకలనం,1983-10-26
1544,సంకలన కర్త,భూమిక,కథా సంకలనం,1991-01-01
1545,సంకలన కర్త,మ.ర.సం. కథాగుచ్ఛం,కథా సంకలనం,2008-10-01
1546,సంకలన కర్త,మణి మాణిక్యాలు,కథా సంకలనం,1976-01-01
1547,సంకలన కర్త,మణిదీపాలు,కథా సంకలనం,1950-01-01
1548,సంకలన కర్త,మణిదీపాలు,కథా సంకలనం,1945-01-01
1549,సంకలన కర్త,మనకాలం కథలు,కథా సంకలనం,1997-01-01
1550,సంకలన కర్త,మనిషి కథలు(పురోగామి),కథా సంకలనం,1976-12-01
1551,సంకలన కర్త,మల్లెలు,కథా సంకలనం,1965-09-01
1552,సంకలన కర్త,మహాసంకల్పం,కథా సంకలనం,1985-06-01
1553,సంకలన కర్త,మా కథలు 2012,కథా సంకలనం,2013-06-01
1554,సంకలన కర్త,మాటు,కథా సంకలనం,2004-01-01
1555,సంకలన కర్త,మాణిక్యదీపిక,కథా సంకలనం,1977-06-01
1556,సంకలన కర్త,మారెమ్మ గుడి,కథా సంకలనం,1965-01-01
1557,సంకలన కర్త,మార్పుకోసం,కథా సంకలనం,1977-01-01
1558,సంకలన కర్త,మాలిక,కథా సంకలనం,1976-06-01
1559,సంకలన కర్త,మినీకథా సౌరభం,కథా సంకలనం,2009-12-01
1560,సంకలన కర్త,మినీకథామాల,కథా సంకలనం,1987-01-01
1561,సంకలన కర్త,ముళ్ల గులాబి,కథా సంకలనం,1974-07-01
1562,సంకలన కర్త,మెనీమినీ కథలు,కథా సంకలనం,1980-08-01
1563,సంకలన కర్త,యువ కథామాల,కథా సంకలనం,1964-07-01
1564,సంకలన కర్త,యువకథావళి,కథా సంకలనం,1938-08-01
1565,సంకలన కర్త,రతనాల వీణ,కథా సంకలనం,2006-01-01
1566,సంకలన కర్త,రమణీయ కథలు,కథా సంకలనం,2007-06-01
1567,సంకలన కర్త,రాజీ(సంకలనం),కథా సంకలనం,1972-01-01
1568,సంకలన కర్త,రాలిన పూలు,కథా సంకలనం,1959-04-01
1569,సంకలన కర్త,రైతు కథలు,కథా సంకలనం,2012-03-01
1570,సంకలన కర్త,రోహిణి నవ్వింది,కథా సంకలనం,1978-06-01
1571,సంకలన కర్త,లోకం రివాజు(పురోగామి),కథా సంకలనం,1977-07-01
1572,సంకలన కర్త,వంశధార కథలు,కథా సంకలనం,1999-02-01
1573,సంకలన కర్త,వర్తమాన కథ 2009,కథా సంకలనం,2009-08-01
1574,సంకలన కర్త,వాచవి,కథా సంకలనం,1956-01-01
1575,సంకలన కర్త,వాలిన మబ్బులు,కథా సంకలనం,1988-06-01
1576,సంకలన కర్త,వి.సా.కథలు,కథా సంకలనం,1974-01-01
1577,సంకలన కర్త,వికసిస్తున్న కుసుమాలు,కథా సంకలనం,1976-10-01
1578,సంకలన కర్త,విద్యార్థి కథాసాహితి,కథా సంకలనం,1971-04-01
1579,సంకలన కర్త,విద్యార్థిసాహితి కథాంజలి 1,కథా సంకలనం,1969-07-01
1580,సంకలన కర్త,విద్యార్థిసాహితి కథాంజలి 2,కథా సంకలనం,1970-10-01
1581,సంకలన కర్త,విద్యార్థిసాహితి కథాంజలి 3,కథా సంకలనం,1971-04-01
1582,సంకలన కర్త,వివశువు,కథా సంకలనం,1962-01-01
1583,సంకలన కర్త,వెలుగులు,కథా సంకలనం,1938-01-01
1584,సంకలన కర్త,వైకుంఠ వాకిలి,కథా సంకలనం,1972-10-01
1585,సంకలన కర్త,వ్యక్త్తిత్వాలు,కథా సంకలనం,1957-11-01
1586,సంకలన కర్త,శాపగ్రస్తులు,కథా సంకలనం,2005-01-01
1587,సంకలన కర్త,శ్రీ మహారాజ విక్రమదేవవర్మ...,కదంబం,1940-05-01
1588,సంకలన కర్త,షి.ర.సం కథలు,కథా సంకలనం,1990-07-01
1589,సంకలన కర్త,సప్తస్వరాలు,కథా సంకలనం,1966-01-01
1590,సంకలన కర్త,సమరం,కథా సంకలనం,2006-01-01
1591,సంకలన కర్త,సమర్పణ,కథా సంకలనం,1952-01-01
1592,సంకలన కర్త,సమర్పణ 68,కథా సంకలనం,1968-08-01
1593,సంకలన కర్త,సాధన,కథా సంకలనం,1953-09-01
1594,సంకలన కర్త,సారా కథలు సాహిత్య నేపధ్యం,కథా సంకలనం,1992-11-01
1595,సంకలన కర్త,సాహితీ విపణి,కథా సంకలనం,1945-01-01
1596,సంకలన కర్త,సీమకక్షల...,కథా సంకలనం,2005-01-01
1597,సంకలన కర్త,స్పైసీకథలు,కథా సంకలనం,1976-01-01
1598,సంకలన కర్త,స్వాతి ఉత్తమ కథలు,కథా సంకలనం,2006-01-01
1599,సంకలన కర్త,హంద్రీకథలు,కథా సంకలనం,2003-01-01
1600,సంకలన కర్త,హరివిల్లు,కథా సంకలనం,1965-01-01
1601,సంకలన కర్త,హాస్యవనం 1,కథా సంకలనం,2008-10-01
1602,సంకలన కర్త,హాస్యవనం 2,కథా సంకలనం,2009-04-01
1603,సంకలన కర్త,హోరు,కథా సంకలనం,1971-09-01
1604,నిడుమోలు కళ్యాణసుందరీ జగన్నాథ్,అలరాస పుట్టిళ్లు,కథా సంపుటం,1997-01-01
1605,గోనుగంట బ్రహ్మయాచార్యులు,హృదయ పరివర్తన కథలు 3,కథా సంపుటం,2002-09-01
1606,టేకుమళ్ల కామేశ్వరరావు,రొజా,కథా సంపుటం,1951-01-01
1607,టేకుమళ్ల కామేశ్వరరావు,సాహిత్య చిత్రములు,కథా సంపుటం,1945-01-01
1608,టేకుమళ్ల కామేశ్వరరావు,సింహాద్రిరావీయం,కథా సంపుటం,1967-01-01
1609,టి జ్ఞానప్రసూన,మాటలపందిరి,ఫీచర్,2003-01-01
1610,మహంకాళి శ్రీరామమూర్తి,చుక్కలూ గీతలూ...,కథా సంపుటం,1969-01-01
1611,మహంకాళి శ్రీరామమూర్తి,రాజూ మంత్రీ...,కథా సంపుటం,1969-01-01
1612,ఎమ్ ఎస్ వి గంగరాజు,ఎమ్మెస్వీ గంగరాజు కథలు 1,కథా సంపుటం,2004-01-01
1613,ఎమ్ ఎస్ వి గంగరాజు,ఎమ్మెస్వీ గంగరాజు కథలు 2,కథా సంపుటం,2009-10-01
1614,పిలకా గణపతిశాస్త్రి,చైత్రపూర్ణిమ,కథా సంపుటం,1968-07-01
1615,పిలకా గణపతిశాస్త్రి,ప్రాచీన గాధాలహరి 1,కథా సంపుటం,1968-01-01
1616,పిలకా గణపతిశాస్త్రి,ప్రాచీన గాధాలహరి 4,కథా సంపుటం,1964-03-01
1617,పిలకా గణపతిశాస్త్రి,ప్రాచీన గాధాలహరి 5,కథా సంపుటం,1967-05-01
1618,వారణాసి నాగలక్ష్మి,ఆలంబన,కథా సంపుటం,2005-01-01
1619,వారణాసి నాగలక్ష్మి,ఆసరా,కథా సంపుటం,2010-01-01
1620,పి వి ఎల్ నరసింహారావు,తలుపులు తెరిచిన కిటికీ,కథా సంపుటం,1961-01-01
1621,పి వి ఎల్ నరసింహారావు,వరుడు కావలెను,కథా సంపుటం,1960-01-01
1622,డి వర్ధని,పతనం పరమం,కథా సంపుటం,1996-01-01
1623,తాతా రమేష్ బాబు,తాతా రమేష్ బాబు కథలు,కథా సంపుటం,2000-01-01
1624,పెద్దూరి వెంకటదాసు,లేడీ కండక్టర్,కథా సంపుటం,2007-01-01
1625,వల్లభనేని అశ్వినికుమార్,అమాహ,కథా సంపుటం,2002-01-01
1626,సత్యవేటి శ్రీకాంత్,వీడ్కోలు,కథా సంపుటం,1980-11-01
1627,డి కేశవరావు,మధుపత్రం,కథా సంపుటం,1963-01-01
1628,బొందుగులపాటి దామోదరరావు,కథలు కథలుగా,కథా సంపుటం,2007-01-01
1629,బొందుగులపాటి దామోదరరావు,గిరివి,కథా సంపుటం,2002-01-01
1630,బొందుగులపాటి దామోదరరావు,సింగిడి,కథా సంపుటం,1993-01-01
1631,తమిరిశ జానకి,ఎంతో చిన్నది జీవితం,కథా సంపుటం,2011-01-01
1632,తమిరిశ జానకి,డాక్టర్ రచయిత,కథా సంపుటం,2007-01-01
1633,తమిరిశ జానకి,మనసిది నీకోసం,కథా సంపుటం,1989-01-01
1634,తమిరిశ జానకి,మరొక తలుపు,కథా సంపుటం,2004-11-01
1635,తమిరిశ జానకి,మూగ మనసులు,కథా సంపుటం,1977-01-01
1636,చిత్తర్వు మధు,చిత్తర్వు మధు కథలు,కథా సంపుటం,2002-01-01
1637,శశిశ్రీ,దహేజ్,కథా సంపుటం,2007-01-01
1638,శశిశ్రీ,రాతిపూలు,కథా సంకలనం,1996-01-01
1639,శశిశ్రీ,రాతిలో తేమ,కథా సంపుటం,2010-08-01
1640,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,ఎప్పుడూ ఇంతే,కథా సంపుటం,1965-01-01
1641,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,కచటతపలు,కథా సంపుటం,1956-01-01
1642,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,చెరగని అక్షరాలు,కథా సంపుటం,1957-01-01
1643,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,త్రివేణీ సంగమం,కథా సంపుటం,1978-04-01
1644,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,మిధ్యబ్రతుకులు,కథా సంపుటం,1955-01-01
1645,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,స్వగతం,కథా సంపుటం,1978-05-01
1646,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,స్వప్నవాసం,కథా సంపుటం,1967-01-01
1647,ఇసుకపల్లి లక్ష్మీనరశింహశాస్త్రి,స్వర్గాదపీ గరీయసీ,కథా సంపుటం,1979-01-01
1648,పిడుగు పాపిరెడ్డి,ఇంద్ర నీలాలు,కథా సంపుటం,2007-01-01
1649,పిడుగు పాపిరెడ్డి,శాలువా కథలు,కథా సంపుటం,2012-10-01
1650,విజయకుమారి,వెన్నెల మెట్లు(విజయకుమారి),కథా సంపుటం,1998-01-01
1651,సడ్లపల్లె చిదంబరరెడ్డి,ఇసక,కథా సంపుటం,1998-01-01
1652,సడ్లపల్లె చిదంబరరెడ్డి,కొల్లబోయిన పల్లె,కథా సంపుటం,2013-02-01
1653,పొదిల శ్రీరామమూర్తి,చీకట్లో కలసిన దీపం,కథా సంపుటం,1980-01-01
1654,సోమంచి యజ్ఞన్నశాస్త్రి,ఎర్రటేపు,కథా సంపుటం,1964-01-01
1655,సోమంచి యజ్ఞన్నశాస్త్రి,నిత్యానందం,కథా సంపుటం,1970-08-01
1656,సోమంచి యజ్ఞన్నశాస్త్రి,లంచం పట్టిన ఆఫీసరు,కథా సంపుటం,1959-01-01
1657,వాడపల్లి విజయభాస్కరరామారావు,కథల కొలను,కథా సంపుటం,2001-01-01
1658,వాడపల్లి విజయభాస్కరరామారావు,కథల కొలువు,కథా సంపుటం,2001-01-01
1659,వాడపల్లి విజయభాస్కరరామారావు,వి.వి.బి. రామారావు కథలు,కథా సంపుటం,1989-01-01
1660,అడ్లూరి అయోధ్యరామకవి,తెలంగాణ మంటల్లో,కథా సంపుటం,0
1661,బెల్లంకొండ వెంకమ్మ,మేలుకొలుపు,కథా సంపుటం,2005-01-01
1662,యర్రంశెట్టి శాయి,జనరంజని,ఫీచర్,1985-10-01
1663,యర్రంశెట్టి శాయి,హ్యూమరాలజీ,కథా సంపుటం,1994-01-01
1664,యర్రంశెట్టి శాయి,హ్యూమరాలజీ 3,కథా సంపుటం,1986-01-01
1665,అనిశెట్టి రజిత,మట్టి బంధం,కథా సంపుటం,2006-01-01
1666,ఝాన్సీ కె వి కుమారి,వినిపించని రాగాలు,కథా సంపుటం,2006-01-01
1667,వేంపల్లి షరీఫ్,జుమ్మా,కథా సంపుటం,2011-08-01
1668,అన్నపూర్ణ కృష్ణ,గులాబీలు,కథా సంపుటం,1970-01-01
1669,ప్రషాడార్కె,గగర్పు,కథా సంపుటం,1987-01-01
1670,పవని నిర్మల ప్రభావతి,అనాధ,కథా సంపుటం,1966-01-01
1671,పవని నిర్మల ప్రభావతి,ఎదలో ముల్లు,కథా సంపుటం,1973-01-01
1672,పవని నిర్మల ప్రభావతి,నాగరికత నవ్వుతోంది,కథా సంపుటం,1974-01-01
1673,పవని నిర్మల ప్రభావతి,పాలఘాటు పిల్ల,కథా సంపుటం,1976-02-01
1674,పవని నిర్మల ప్రభావతి,భగవాన్ నేనేమీ ...,కథా సంపుటం,1972-01-01
1675,పవని నిర్మల ప్రభావతి,స్త్రీ(పవని),కథా సంపుటం,1966-01-01
1676,పవని నిర్మల ప్రభావతి,హనీమూన్,కథా సంపుటం,1978-01-01
1677,హనుమంతు రామచంద్రం,నారదుడు...కథలు,కథా సంపుటం,2004-01-01
1678,హనుమంతు రామచంద్రం,శృంగార నాయికలు,కథా సంపుటం,1995-01-01
1679,పసల భీమన్న,నాన్నా క్షమించు,కథా సంపుటం,2008-12-01
1680,గరిమెళ్ల నరసింహశర్మ,శిరీషం,కథా సంపుటం,2006-01-01
1681,బద్ది నాగేశ్వరరావు,మూడుత్తరాలు,కథా సంపుటం,2004-01-01
1682,గాదె రంగారావు,అమ్మకానికో అమ్మాయి,కథా సంపుటం,2003-01-01
1683,కొమరగిరి సుందరరాంరావు,కరుణభారతి కథలు,కథా సంపుటం,1991-01-01
1684,వై రాంబాబు&శాయి,కథానాటికలు,కథా సంకలనం,2009-01-01
1685,వై రాంబాబు&శాయి,కథామహల్ 2000,కథా సంకలనం,2000-01-01
1686,వై రాంబాబు&శాయి,కథామహల్ 2001,కథా సంకలనం,2001-01-01
1687,వై రాంబాబు&శాయి,కథామహల్ 2002,కథా సంకలనం,2002-08-01
1688,వై రాంబాబు&శాయి,కథావాహిని 2003,కథా సంకలనం,2003-09-01
1689,వై రాంబాబు&శాయి,కథావాహిని 2004,కథా సంకలనం,2004-01-01
1690,వై రాంబాబు&శాయి,కథావాహిని 2005,కథా సంకలనం,2005-01-01
1691,వై రాంబాబు&శాయి,కథావాహిని 2006,కథా సంకలనం,2006-01-01
1692,వై రాంబాబు&శాయి,కథావాహిని 2007,కథా సంకలనం,2007-01-01
1693,వై రాంబాబు&శాయి,కథావాహిని 2009,కథా సంకలనం,2009-02-01
1694,వై రాంబాబు&శాయి,కథావాహిని 2010,కథా సంకలనం,2010-09-01
1695,వై రాంబాబు&శాయి,కథావాహిని 2011,కథా సంకలనం,2011-09-01
1696,వై రాంబాబు&శాయి,నిన్న కురిసిన వర్షం నీరు,కథా సంపుటం,1989-01-01
1697,వై రాంబాబు&శాయి,సొతంత్రం చిగురేసింది,కథా సంపుటం,1985-01-01
1698,జలసూత్రం రుక్మిణీనాథశాస్త్రి,తనలో తాను,కథా సంపుటం,1983-01-01
1699,జలసూత్రం రుక్మిణీనాథశాస్త్రి,శరత్పూర్ణిమ,కథా సంపుటం,1981-01-01
1700,మంచికంటి,మారాజులు,కథా సంపుటం,2009-01-01
1701,మంచికంటి,మిత్తవ,కథా సంపుటం,2006-01-01
1702,టి వి రత్నావళి,ఏరు దాటిన తెప్ప,కథా సంపుటం,1960-01-01
1703,దేవరకొండ గంగాధర రామారావు,కలలవల,కథా సంపుటం,1994-01-01
1704,సంకేపల్లి నాగేంద్రశర్మ,నాగేంద్రశర్మ కథలు,కథా సంపుటం,2007-06-01
1705,సంకేపల్లి నాగేంద్రశర్మ,సంకేపల్లి నాగేంద్రశర్మ కథలు,కథా సంపుటం,2015-03-01
1706,చింతల దేవేందర్,వెలుగు నీడ,కథా సంపుటం,2008-06-01
1707,పొట్లూరి సుబ్రహ్మణ్యం,ఆవేదనలు అంతరంగాలు,కథా సంపుటం,1991-01-01
1708,పొట్లూరి సుబ్రహ్మణ్యం,చిగురించిన గులాబి,కథా సంపుటం,1991-01-01
1709,పొట్లూరి సుబ్రహ్మణ్యం,మనిషి(పొట్లూరి),కథా సంపుటం,1994-01-01
1710,పొట్లూరి సుబ్రహ్మణ్యం,యువర్ అటెన్షన్ ప్లీజ్,కథా సంపుటం,1994-01-01
1711,పొట్లూరి సుబ్రహ్మణ్యం,వెర్రికేక,కథా సంపుటం,1995-01-01
1712,క్రొవ్విడి లక్ష్మన్న,కోర్టు మార్షల్,కథా సంపుటం,1960-01-01
1713,క్రొవ్విడి లక్ష్మన్న,తేనెపట్టు,కథా సంపుటం,1966-11-22
1714,జయంతి పాపారావు,ఆమె చెప్పిన కథలు,కథా సంపుటం,1992-01-01
1715,జయంతి పాపారావు,జయంతి పాపారావు కథలు,కథా సంపుటం,2005-01-01
1716,జయంతి పాపారావు,నూరేళ్లు నూరుగురు కథకులు నూరు కథలు,కథా సంకలనం,2010-03-01
1717,జయంతి పాపారావు,సంఘర్షణ(జయంతి),కథా సంపుటం,1995-01-01
1718,కె వి రమణారావు,పుట్టిల్లు,కథా సంపుటం,2013-09-01
1719,ఎ ఎన్ జగన్నాథశర్మ,జగన్నాధ రధచక్రాల్,ఫీచర్,2011-01-01
1720,ఎ ఎన్ జగన్నాథశర్మ,పేగు కాలిన వాసన,కథా సంపుటం,2010-02-01
1721,వాడ్రేవు చినవీరభద్రుడు,ప్రశ్నభూమి,కథా సంపుటం,1990-01-01
1722,వాడ్రేవు చినవీరభద్రుడు,వందేళ్ల తెలుగుకథ,కథా సంకలనం,2001-01-01
1723,పొట్లపల్లి రామారావు,పొట్లపల్లి రామారావు కథలు,కథా సంపుటం,2012-05-01
1724,పొట్లపల్లి రామారావు,పొట్లపల్లి రామారావు సాహిత్యం వచనం,కథా సంపుటం,2012-01-01
1725,టి శ్యామలరావు,కొత్తదారి,కథా సంపుటం,1970-01-01
1726,చక్కిరాల వైదేహి,జీవన సమరం,కథా సంపుటం,1977-01-01
1727,నడిమింటి జగ్గారావు,ప్రేమాన్వితం,కథా సంపుటం,2010-02-01
1728,ఎమ్ వి శీతాపతిరావు,సమ్మోహిని,కథా సంపుటం,2004-01-01
1729,శిరీష మంజరి,ఆ వెలుగే చూడాలి,కథా సంపుటం,2009-03-05
1730,శిరీష మంజరి,ఊయల,కథా సంపుటం,2006-01-01
1731,శిరీష మంజరి,మానవత్వానికి..,కథా సంపుటం,2010-01-01
1732,పల్లేటి బాలాజీ,అభినందన,కథా సంకలనం,1997-01-14
1733,మేకా సుధాకరరావు,విడిన పాగా,కథా సంపుటం,1986-01-01
1734,ఆకెళ్ల వెంకటసుబ్బలక్ష్మి,కథామందారం(సుబ్బలక్ష్మి),కథా సంపుటం,2000-11-01
1735,కస్తూరి మురళీకృష్ణ,కల్యాణ కాశ్నీర..,కథా సంపుటం,2006-04-01
1736,కస్తూరి మురళీకృష్ణ,జీవితం జాతకం,కథా సంపుటం,2005-01-01
1737,కోట శ్రీరాములు,పాల తరగలు,కథా సంపుటం,1947-01-01
1738,కోట శ్రీరాములు,పాలతరగలు,కథా సంపుటం,1947-12-16
1739,ఘండికోట బ్రహ్మాజీరావు,కావేరీ సేతురామన్,కథా సంపుటం,2009-03-01
1740,ఘండికోట బ్రహ్మాజీరావు,మయూరాక్షి,కథా సంపుటం,1996-01-01
1741,పోట్లూరు సుబ్రహ్మణ్యం,జూమ,కథా సంపుటం,2005-01-01
1742,పోట్లూరు సుబ్రహ్మణ్యం,నీడలు(పోట్నూరు),కథా సంపుటం,2005-01-01
